classifi,pratica,audi521,inialcoo,pibpercapita
9,3,1,9,"17.028,6"
2,4,1,9,"17.028,6"
3,2,1,9,"17.028,6"
3,2,1,9,"17.028,6"
2,4,2,5,"17.028,6"
2,2,3,5,"17.028,6"
2,4,2,4,"17.028,6"
3,4,2,3,"17.028,6"
2,3,2,2,"17.028,6"
3,3,3,3,"17.028,6"
2,4,2,3,"17.028,6"
3,2,2,5,"17.028,6"
2,3,1,9,"17.028,6"
3,2,1,9,"17.028,6"
2,3,2,5,"17.028,6"
1,3,3,5,"17.028,6"
2,3,3,4,"17.028,6"
2,3,2,4,"17.028,6"
2,4,3,5,"17.028,6"
2,3,3,4,"17.028,6"
2,2,1,9,"17.028,6"
2,2,1,9,"17.028,6"
1,4,1,9,"17.028,6"
3,2,2,5,"17.028,6"
1,2,2,5,"17.028,6"
2,3,1,9,"17.028,6"
2,4,2,5,"17.028,6"
1,2,2,5,"17.028,6"
2,2,2,3,"17.028,6"
2,4,1,9,"17.028,6"
3,4,1,9,"17.028,6"
2,4,2,3,"17.028,6"
2,4,1,5,"17.028,6"
2,4,3,4,"17.028,6"
1,2,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,1,1,9,"17.028,6"
2,2,1,9,"17.028,6"
3,4,1,9,"17.028,6"
1,4,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,4,1,9,"17.028,6"
3,4,3,4,"17.028,6"
2,3,1,9,"17.028,6"
2,3,1,9,"17.028,6"
3,4,1,9,"17.028,6"
3,3,1,9,"17.028,6"
2,2,2,9,"17.028,6"
2,4,1,9,"17.028,6"
1,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,3,2,4,"17.028,6"
2,2,1,9,"17.028,6"
2,4,2,5,"17.028,6"
3,4,3,3,"17.028,6"
3,4,1,9,"17.028,6"
9,4,3,4,"17.028,6"
3,3,1,9,"17.028,6"
9,4,1,9,"17.028,6"
2,4,2,3,"17.028,6"
2,4,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,2,3,9,"17.028,6"
3,3,1,9,"17.028,6"
2,2,3,4,"17.028,6"
2,3,2,3,"17.028,6"
1,4,1,9,"17.028,6"
1,4,1,9,"17.028,6"
1,4,1,9,"17.028,6"
3,2,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,4,2,4,"17.028,6"
1,4,1,9,"17.028,6"
2,4,2,9,"17.028,6"
1,4,1,9,"17.028,6"
3,4,1,9,"17.028,6"
1,4,1,9,"17.028,6"
1,3,1,4,"17.028,6"
2,3,2,3,"17.028,6"
2,3,1,9,"17.028,6"
3,2,1,9,"17.028,6"
2,2,2,3,"17.028,6"
2,3,1,9,"17.028,6"
2,4,1,9,"17.028,6"
1,2,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,2,1,9,"17.028,6"
9,4,9,5,"17.028,6"
2,3,2,5,"17.028,6"
2,3,1,9,"17.028,6"
3,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,4,4,4,"17.028,6"
2,3,1,9,"17.028,6"
3,3,2,3,"17.028,6"
2,3,1,9,"17.028,6"
3,3,3,5,"17.028,6"
2,4,2,4,"17.028,6"
2,3,2,4,"17.028,6"
2,3,2,5,"17.028,6"
3,4,2,5,"17.028,6"
1,4,3,4,"17.028,6"
1,4,1,9,"17.028,6"
2,9,1,3,"17.028,6"
2,2,3,3,"17.028,6"
2,3,3,3,"17.028,6"
2,3,2,4,"17.028,6"
2,3,2,3,"17.028,6"
2,3,1,9,"17.028,6"
3,2,1,9,"17.028,6"
1,2,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,4,3,4,"17.028,6"
2,2,1,9,"17.028,6"
2,2,1,9,"17.028,6"
2,3,2,5,"17.028,6"
2,4,3,5,"17.028,6"
2,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,4,1,5,"17.028,6"
1,4,3,5,"17.028,6"
9,4,4,4,"17.028,6"
2,4,2,4,"17.028,6"
2,4,2,4,"17.028,6"
1,3,2,4,"17.028,6"
3,3,1,4,"17.028,6"
3,4,2,3,"17.028,6"
3,4,1,9,"17.028,6"
3,2,1,9,"17.028,6"
2,4,2,5,"17.028,6"
2,3,1,9,"17.028,6"
2,4,1,9,"17.028,6"
3,3,2,4,"17.028,6"
2,3,1,9,"17.028,6"
3,3,1,9,"17.028,6"
3,4,2,5,"17.028,6"
2,3,1,9,"17.028,6"
2,4,1,9,"17.028,6"
3,3,2,4,"17.028,6"
4,3,1,9,"17.028,6"
3,4,1,9,"17.028,6"
2,3,1,9,"17.028,6"
3,3,2,3,"17.028,6"
4,4,2,4,"17.028,6"
2,2,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,2,2,3,"17.028,6"
2,3,1,9,"17.028,6"
2,3,2,5,"17.028,6"
2,3,2,5,"17.028,6"
2,4,2,4,"17.028,6"
3,2,2,5,"17.028,6"
2,3,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,3,2,4,"17.028,6"
2,2,9,9,"17.028,6"
2,3,1,9,"17.028,6"
2,2,1,3,"17.028,6"
2,3,2,4,"17.028,6"
2,3,2,4,"17.028,6"
2,4,1,9,"17.028,6"
3,3,2,1,"17.028,6"
3,4,1,9,"17.028,6"
3,4,3,2,"17.028,6"
3,4,2,5,"17.028,6"
2,4,1,9,"17.028,6"
4,3,2,4,"17.028,6"
3,4,1,9,"17.028,6"
3,2,2,4,"17.028,6"
4,3,2,4,"17.028,6"
3,3,1,9,"17.028,6"
4,4,1,9,"17.028,6"
3,4,3,5,"17.028,6"
4,4,2,5,"17.028,6"
4,3,1,9,"17.028,6"
3,3,1,9,"17.028,6"
2,4,3,4,"17.028,6"
3,3,1,9,"17.028,6"
2,4,3,1,"17.028,6"
2,3,2,9,"17.028,6"
3,3,3,4,"17.028,6"
2,2,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,4,1,5,"17.028,6"
2,4,1,9,"17.028,6"
3,3,2,5,"17.028,6"
2,4,3,4,"17.028,6"
4,3,2,2,"17.028,6"
2,3,2,5,"17.028,6"
2,2,2,9,"17.028,6"
1,3,2,5,"17.028,6"
2,3,2,1,"17.028,6"
2,3,1,9,"17.028,6"
3,2,1,9,"17.028,6"
2,3,1,9,"17.028,6"
2,3,3,5,"17.028,6"
2,3,3,1,"17.028,6"
2,4,3,5,"17.028,6"
2,2,1,9,"17.028,6"
2,4,1,9,"17.028,6"
3,4,1,5,"17.028,6"
3,4,1,4,"17.028,6"
2,4,1,9,"17.028,6"
2,3,3,2,"17.028,6"
3,3,2,3,"17.028,6"
2,3,1,9,"17.028,6"
2,2,1,9,"17.028,6"
3,4,3,4,"17.028,6"
3,4,1,9,"17.028,6"
3,4,3,5,"17.028,6"
2,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,4,1,9,"17.028,6"
2,4,2,5,"17.028,6"
2,3,2,5,"17.028,6"
2,4,2,3,"17.028,6"
2,2,2,5,"17.028,6"
2,4,1,9,"17.028,6"
2,4,2,5,"17.028,6"
2,1,3,5,"17.028,6"
3,4,3,5,"17.028,6"
3,3,3,5,"17.028,6"
2,2,1,9,"17.028,6"
2,4,2,5,"17.028,6"
2,4,1,9,"17.028,6"
3,3,1,9,23
